three|term|two|english|french|ordinal
aar| | aa| Afar| afar| 0
abk| | ab| Abkhazian| abkhaze| 1
ace| | | Achinese| aceh| 2
ach| | | Acoli| acoli| 3
ada| | | Adangme| adangme| 4
ady| | | Adyghe; Adygei| adyghé| 5
afa| | | Afro-Asiatic languages| afro-asiatiques, langues| 6
afh| | | Afrihili| afrihili| 7
afr| | af| Afrikaans| afrikaans| 8
ain| | | Ainu| aïnou| 9
aka| | ak| Akan| akan| 10
akk| | | Akkadian| akkadien| 11
alb| sqi| sq| Albanian| albanais| 12
ale| | | Aleut| aléoute| 13
alg| | | Algonquian languages| algonquines, langues| 14
alt| | | Southern Altai| altai du Sud| 15
amh| | am| Amharic| amharique| 16
ang| | | English, Old (ca.450-1100)| anglo-saxon (ca.450-1100)| 17
anp| | | Angika| angika| 18
apa| | | Apache languages| apaches, langues| 19
ara| | ar| Arabic| arabe| 20
arc| | | Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)| araméen d'empire (700-300 BCE)| 21
arg| | an| Aragonese| aragonais| 22
arm| hye| hy| Armenian| arménien| 23
arn| | | Mapudungun; Mapuche| mapudungun; mapuche; mapuce| 24
arp| | | Arapaho| arapaho| 25
art| | | Artificial languages| artificielles, langues| 26
arw| | | Arawak| arawak| 27
asm| | as| Assamese| assamais| 28
ast| | | Asturian; Bable; Leonese; Asturleonese| asturien; bable; léonais; asturoléonais| 29
ath| | | Athapascan languages| athapascanes, langues| 30
aus| | | Australian languages| australiennes, langues| 31
ava| | av| Avaric| avar| 32
ave| | ae| Avestan| avestique| 33
awa| | | Awadhi| awadhi| 34
aym| | ay| Aymara| aymara| 35
aze| | az| Azerbaijani| azéri| 36
bad| | | Banda languages| banda, langues| 37
bai| | | Bamileke languages| bamiléké, langues| 38
bak| | ba| Bashkir| bachkir| 39
bal| | | Baluchi| baloutchi| 40
bam| | bm| Bambara| bambara| 41
ban| | | Balinese| balinais| 42
baq| eus| eu| Basque| basque| 43
bas| | | Basa| basa| 44
bat| | | Baltic languages| baltes, langues| 45
bej| | | Beja; Bedawiyet| bedja| 46
bel| | be| Belarusian| biélorusse| 47
bem| | | Bemba| bemba| 48
ben| | bn| Bengali| bengali| 49
ber| | | Berber languages| berbères, langues| 50
bho| | | Bhojpuri| bhojpuri| 51
bih| | bh| Bihari languages| langues biharis| 52
bik| | | Bikol| bikol| 53
bin| | | Bini; Edo| bini; edo| 54
bis| | bi| Bislama| bichlamar| 55
bla| | | Siksika| blackfoot| 56
bnt| | | Bantu (Other)| bantoues, autres langues| 57
bos| | bs| Bosnian| bosniaque| 58
bra| | | Braj| braj| 59
bre| | br| Breton| breton| 60
btk| | | Batak languages| batak, langues| 61
bua| | | Buriat| bouriate| 62
bug| | | Buginese| bugi| 63
bul| | bg| Bulgarian| bulgare| 64
bur| mya| my| Burmese| birman| 65
byn| | | Blin; Bilin| blin; bilen| 66
cad| | | Caddo| caddo| 67
cai| | | Central American Indian languages| amérindiennes de L'Amérique centrale, langues| 68
car| | | Galibi Carib| karib; galibi; carib| 69
cat| | ca| Catalan; Valencian| catalan; valencien| 70
cau| | | Caucasian languages| caucasiennes, langues| 71
ceb| | | Cebuano| cebuano| 72
cel| | | Celtic languages| celtiques, langues; celtes, langues| 73
cha| | ch| Chamorro| chamorro| 74
chb| | | Chibcha| chibcha| 75
che| | ce| Chechen| tchétchène| 76
chg| | | Chagatai| djaghataï| 77
chi| zho| zh| Chinese| chinois| 78
chk| | | Chuukese| chuuk| 79
chm| | | Mari| mari| 80
chn| | | Chinook jargon| chinook, jargon| 81
cho| | | Choctaw| choctaw| 82
chp| | | Chipewyan; Dene Suline| chipewyan| 83
chr| | | Cherokee| cherokee| 84
chu| | cu| Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic| slavon d'église; vieux slave; slavon liturgique; vieux bulgare| 85
chv| | cv| Chuvash| tchouvache| 86
chy| | | Cheyenne| cheyenne| 87
cmc| | | Chamic languages| chames, langues| 88
cop| | | Coptic| copte| 89
cor| | kw| Cornish| cornique| 90
cos| | co| Corsican| corse| 91
cpe| | | Creoles and pidgins, English based| créoles et pidgins basés sur l'anglais| 92
cpf| | | Creoles and pidgins, French-based| créoles et pidgins basés sur le français| 93
cpp| | | Creoles and pidgins, Portuguese-based| créoles et pidgins basés sur le portugais| 94
cre| | cr| Cree| cree| 95
crh| | | Crimean Tatar; Crimean Turkish| tatar de Crimé| 96
crp| | | Creoles and pidgins| créoles et pidgins| 97
csb| | | Kashubian| kachoube| 98
cus| | | Cushitic languages| couchitiques, langues| 99
cze| ces| cs| Czech| tchèque| 100
dak| | | Dakota| dakota| 101
dan| | da| Danish| danois| 102
dar| | | Dargwa| dargwa| 103
day| | | Land Dayak languages| dayak, langues| 104
del| | | Delaware| delaware| 105
den| | | Slave (Athapascan)| esclave (athapascan)| 106
dgr| | | Dogrib| dogrib| 107
din| | | Dinka| dinka| 108
div| | dv| Divehi; Dhivehi; Maldivian| maldivien| 109
doi| | | Dogri| dogri| 110
dra| | | Dravidian languages| dravidiennes, langues| 111
dsb| | | Lower Sorbian| bas-sorabe| 112
dua| | | Duala| douala| 113
dum| | | Dutch, Middle (ca.1050-1350)| néerlandais moyen (ca. 1050-1350)| 114
dut| nld| nl| Dutch; Flemish| néerlandais; flamand| 115
dyu| | | Dyula| dioula| 116
dzo| | dz| Dzongkha| dzongkha| 117
efi| | | Efik| efik| 118
egy| | | Egyptian (Ancient)| égyptien| 119
eka| | | Ekajuk| ekajuk| 120
elx| | | Elamite| élamite| 121
eng| | en| English| anglais| 122
enm| | | English, Middle (1100-1500)| anglais moyen (1100-1500)| 123
epo| | eo| Esperanto| espéranto| 124
est| | et| Estonian| estonien| 125
ewe| | ee| Ewe| éwé| 126
ewo| | | Ewondo| éwondo| 127
fan| | | Fang| fang| 128
fao| | fo| Faroese| féroïen| 129
fat| | | Fanti| fanti| 130
fij| | fj| Fijian| fidjien| 131
fil| | | Filipino; Pilipino| filipino; pilipino| 132
fin| | fi| Finnish| finnois| 133
fiu| | | Finno-Ugrian languages| finno-ougriennes, langues| 134
fon| | | Fon| fon| 135
fre| fra| fr| French| français| 136
frm| | | French, Middle (ca.1400-1600)| français moyen (1400-1600)| 137
fro| | | French, Old (842-ca.1400)| français ancien (842-ca.1400)| 138
frr| | | Northern Frisian| frison septentrional| 139
frs| | | Eastern Frisian| frison oriental| 140
fry| | fy| Western Frisian| frison occidental| 141
ful| | ff| Fulah| peul| 142
fur| | | Friulian| frioulan| 143
gaa| | | Ga| ga| 144
gay| | | Gayo| gayo| 145
gba| | | Gbaya| gbaya| 146
gem| | | Germanic languages| germaniques, langues| 147
geo| kat| ka| Georgian| géorgien| 148
ger| deu| de| German| allemand| 149
gez| | | Geez| guèze| 150
gil| | | Gilbertese| kiribati| 151
gla| | gd| Gaelic; Scottish Gaelic| gaélique; gaélique écossais| 152
gle| | ga| Irish| irlandais| 153
glg| | gl| Galician| galicien| 154
glv| | gv| Manx| manx; mannois| 155
gmh| | | German, Middle High (ca.1050-1500)| allemand, moyen haut (ca. 1050-1500)| 156
goh| | | German, Old High (ca.750-1050)| allemand, vieux haut (ca. 750-1050)| 157
gon| | | Gondi| gond| 158
gor| | | Gorontalo| gorontalo| 159
got| | | Gothic| gothique| 160
grb| | | Grebo| grebo| 161
grc| | | Greek, Ancient (to 1453)| grec ancien (jusqu'à 1453)| 162
gre| ell| el| Greek, Modern (1453-)| grec moderne (après 1453)| 163
grn| | gn| Guarani| guarani| 164
gsw| | | Swiss German; Alemannic; Alsatian| suisse alémanique; alémanique; alsacien| 165
guj| | gu| Gujarati| goudjrati| 166
gwi| | | Gwich'in| gwich'in| 167
hai| | | Haida| haida| 168
hat| | ht| Haitian; Haitian Creole| haïtien; créole haïtien| 169
hau| | ha| Hausa| haoussa| 170
haw| | | Hawaiian| hawaïen| 171
heb| | he| Hebrew| hébreu| 172
her| | hz| Herero| herero| 173
hil| | | Hiligaynon| hiligaynon| 174
him| | | Himachali languages; Western Pahari languages| langues himachalis; langues paharis occidentales| 175
hin| | hi| Hindi| hindi| 176
hit| | | Hittite| hittite| 177
hmn| | | Hmong; Mong| hmong| 178
hmo| | ho| Hiri Motu| hiri motu| 179
hrv| | hr| Croatian| croate| 180
hsb| | | Upper Sorbian| haut-sorabe| 181
hun| | hu| Hungarian| hongrois| 182
hup| | | Hupa| hupa| 183
iba| | | Iban| iban| 184
ibo| | ig| Igbo| igbo| 185
ice| isl| is| Icelandic| islandais| 186
ido| | io| Ido| ido| 187
iii| | ii| Sichuan Yi; Nuosu| yi de Sichuan| 188
ijo| | | Ijo languages| ijo, langues| 189
iku| | iu| Inuktitut| inuktitut| 190
ile| | ie| Interlingue; Occidental| interlingue| 191
ilo| | | Iloko| ilocano| 192
ina| | ia| Interlingua (International Auxiliary Language Association)| interlingua (langue auxiliaire internationale)| 193
inc| | | Indic languages| indo-aryennes, langues| 194
ind| | id| Indonesian| indonésien| 195
ine| | | Indo-European languages| indo-européennes, langues| 196
inh| | | Ingush| ingouche| 197
ipk| | ik| Inupiaq| inupiaq| 198
ira| | | Iranian languages| iraniennes, langues| 199
iro| | | Iroquoian languages| iroquoises, langues| 200
ita| | it| Italian| italien| 201
jav| | jv| Javanese| javanais| 202
jbo| | | Lojban| lojban| 203
jpn| | ja| Japanese| japonais| 204
jpr| | | Judeo-Persian| judéo-persan| 205
jrb| | | Judeo-Arabic| judéo-arabe| 206
kaa| | | Kara-Kalpak| karakalpak| 207
kab| | | Kabyle| kabyle| 208
kac| | | Kachin; Jingpho| kachin; jingpho| 209
kal| | kl| Kalaallisut; Greenlandic| groenlandais| 210
kam| | | Kamba| kamba| 211
kan| | kn| Kannada| kannada| 212
kar| | | Karen languages| karen, langues| 213
kas| | ks| Kashmiri| kashmiri| 214
kau| | kr| Kanuri| kanouri| 215
kaw| | | Kawi| kawi| 216
kaz| | kk| Kazakh| kazakh| 217
kbd| | | Kabardian| kabardien| 218
kha| | | Khasi| khasi| 219
khi| | | Khoisan languages| khoïsan, langues| 220
khm| | km| Central Khmer| khmer central| 221
kho| | | Khotanese; Sakan| khotanais; sakan| 222
kik| | ki| Kikuyu; Gikuyu| kikuyu| 223
kin| | rw| Kinyarwanda| rwanda| 224
kir| | ky| Kirghiz; Kyrgyz| kirghiz| 225
kmb| | | Kimbundu| kimbundu| 226
kok| | | Konkani| konkani| 227
kom| | kv| Komi| kom| 228
kon| | kg| Kongo| kongo| 229
kor| | ko| Korean| coréen| 230
kos| | | Kosraean| kosrae| 231
kpe| | | Kpelle| kpellé| 232
krc| | | Karachay-Balkar| karatchai balkar| 233
krl| | | Karelian| carélien| 234
kro| | | Kru languages| krou, langues| 235
kru| | | Kurukh| kurukh| 236
kua| | kj| Kuanyama; Kwanyama| kuanyama; kwanyama| 237
kum| | | Kumyk| koumyk| 238
kur| | ku| Kurdish| kurde| 239
kut| | | Kutenai| kutenai| 240
lad| | | Ladino| judéo-espagnol| 241
lah| | | Lahnda| lahnda| 242
lam| | | Lamba| lamba| 243
lao| | lo| Lao| lao| 244
lat| | la| Latin| latin| 245
lav| | lv| Latvian| letton| 246
lez| | | Lezghian| lezghien| 247
lim| | li| Limburgan; Limburger; Limburgish| limbourgeois| 248
lin| | ln| Lingala| lingala| 249
lit| | lt| Lithuanian| lituanien| 250
lol| | | Mongo| mongo| 251
loz| | | Lozi| lozi| 252
ltz| | lb| Luxembourgish; Letzeburgesch| luxembourgeois| 253
lua| | | Luba-Lulua| luba-lulua| 254
lub| | lu| Luba-Katanga| luba-katanga| 255
lug| | lg| Ganda| ganda| 256
lui| | | Luiseno| luiseno| 257
lun| | | Lunda| lunda| 258
luo| | | Luo (Kenya and Tanzania)| luo (Kenya et Tanzanie)| 259
lus| | | Lushai| lushai| 260
mac| mkd| mk| Macedonian| macédonien| 261
mad| | | Madurese| madourais| 262
mag| | | Magahi| magahi| 263
mah| | mh| Marshallese| marshall| 264
mai| | | Maithili| maithili| 265
mak| | | Makasar| makassar| 266
mal| | ml| Malayalam| malayalam| 267
man| | | Mandingo| mandingue| 268
mao| mri| mi| Maori| maori| 269
apply| | | Austronesian languages| austronésiennes, langues| 270
mar| | mr| Marathi| marathe| 271
mas| | | Masai| massaï| 272
may| msa| ms| Malay| malais| 273
mdf| | | Moksha| moksa| 274
mdr| | | Mandar| mandar| 275
men| | | Mende| mendé| 276
mga| | | Irish, Middle (900-1200)| irlandais moyen (900-1200)| 277
mic| | | Mi'kmaq; Micmac| mi'kmaq; micmac| 278
min| | | Minangkabau| minangkabau| 279
mis| | | Uncoded languages| langues non codées| 280
mkh| | | Mon-Khmer languages| môn-khmer, langues| 281
mlg| | mg| Malagasy| malgache| 282
mlt| | mt| Maltese| maltais| 283
mnc| | | Manchu| mandchou| 284
mni| | | Manipuri| manipuri| 285
mno| | | Manobo languages| manobo, langues| 286
moh| | | Mohawk| mohawk| 287
mon| | mn| Mongolian| mongol| 288
mos| | | Mossi| moré| 289
mul| | | Multiple languages| multilingue| 290
mun| | | Munda languages| mounda, langues| 291
mus| | | Creek| muskogee| 292
mwl| | | Mirandese| mirandais| 293
mwr| | | Marwari| marvari| 294
myn| | | Mayan languages| maya, langues| 295
myv| | | Erzya| erza| 296
nah| | | Nahuatl languages| nahuatl, langues| 297
nai| | | North American Indian languages| nord-amérindiennes, langues| 298
nap| | | Neapolitan| napolitain| 299
nau| | na| Nauru| nauruan| 300
nav| | nv| Navajo; Navaho| navaho| 301
nbl| | nr| Ndebele, South; South Ndebele| ndébélé du Sud| 302
nde| | nd| Ndebele, North; North Ndebele| ndébélé du Nord| 303
ndo| | ng| Ndonga| ndonga| 304
nds| | | Low German; Low Saxon; German, Low; Saxon, Low| bas allemand; bas saxon; allemand, bas; saxon, bas| 305
nep| | ne| Nepali| népalais| 306
new| | | Nepal Bhasa; Newari| nepal bhasa; newari| 307
nia| | | Nias| nias| 308
nic| | | Niger-Kordofanian languages| nigéro-kordofaniennes, langues| 309
niu| | | Niuean| niué| 310
nno| | nn| Norwegian Nynorsk; Nynorsk, Norwegian| norvégien nynorsk; nynorsk, norvégien| 311
nob| | nb| Bokmål, Norwegian; Norwegian Bokmål| norvégien bokmål| 312
nog| | | Nogai| nogaï; nogay| 313
non| | | Norse, Old| norrois, vieux| 314
nor| | no| Norwegian| norvégien| 315
nqo| | | N'Ko| n'ko| 316
nso| | | Pedi; Sepedi; Northern Sotho| pedi; sepedi; sotho du Nord| 317
nub| | | Nubian languages| nubiennes, langues| 318
nwc| | | Classical Newari; Old Newari; Classical Nepal Bhasa| newari classique| 319
nya| | ny| Chichewa; Chewa; Nyanja| chichewa; chewa; nyanja| 320
nym| | | Nyamwezi| nyamwezi| 321
nyn| | | Nyankole| nyankolé| 322
nyo| | | Nyoro| nyoro| 323
nzi| | | Nzima| nzema| 324
oci| | oc| Occitan (post 1500); Provençal| occitan (après 1500); provençal| 325
oji| | oj| Ojibwa| ojibwa| 326
ori| | or| Oriya| oriya| 327
orm| | om| Oromo| galla| 328
osa| | | Osage| osage| 329
oss| | os| Ossetian; Ossetic| ossète| 330
ota| | | Turkish, Ottoman (1500-1928)| turc ottoman (1500-1928)| 331
oto| | | Otomian languages| otomi, langues| 332
paa| | | Papuan languages| papoues, langues| 333
pag| | | Pangasinan| pangasinan| 334
pal| | | Pahlavi| pahlavi| 335
pam| | | Pampanga; Kapampangan| pampangan| 336
pan| | pa| Panjabi; Punjabi| pendjabi| 337
pap| | | Papiamento| papiamento| 338
pau| | | Palauan| palau| 339
peo| | | Persian, Old (ca.600-400 B.C.)| perse, vieux (ca. 600-400 av. J.-C.)| 340
per| fas| fa| Persian| persan| 341
phi| | | Philippine languages| philippines, langues| 342
phn| | | Phoenician| phénicien| 343
pli| | pi| Pali| pali| 344
pol| | pl| Polish| polonais| 345
pon| | | Pohnpeian| pohnpei| 346
por| | pt| Portuguese| portugais| 347
pra| | | Prakrit languages| prâkrit, langues| 348
pro| | | Provençal, Old (to 1500)| provençal ancien (jusqu'à 1500)| 349
pus| | ps| Pushto; Pashto| pachto| 350
qaa-qtz| | | Reserved for local use| réservée à l'usage local| 351
que| | qu| Quechua| quechua| 352
raj| | | Rajasthani| rajasthani| 353
rap| | | Rapanui| rapanui| 354
rar| | | Rarotongan; Cook Islands Maori| rarotonga; maori des îles Cook| 355
roa| | | Romance languages| romanes, langues| 356
roh| | rm| Romansh| romanche| 357
rom| | | Romany| tsigane| 358
rum| ron| ro| Romanian; Moldavian; Moldovan| roumain; moldave| 359
run| | rn| Rundi| rundi| 360
rup| | | Aromanian; Arumanian; Macedo-Romanian| aroumain; macédo-roumain| 361
rus| | ru| Russian| russe| 362
sad| | | Sandawe| sandawe| 363
sag| | sg| Sango| sango| 364
sah| | | Yakut| iakoute| 365
sai| | | South American Indian (Other)| indiennes d'Amérique du Sud, autres langues| 366
sal| | | Salishan languages| salishennes, langues| 367
sam| | | Samaritan Aramaic| samaritain| 368
san| | sa| Sanskrit| sanskrit| 369
sas| | | Sasak| sasak| 370
sat| | | Santali| santal| 371
scn| | | Sicilian| sicilien| 372
sco| | | Scots| écossais| 373
sel| | | Selkup| selkoupe| 374
sem| | | Semitic languages| sémitiques, langues| 375
sga| | | Irish, Old (to 900)| irlandais ancien (jusqu'à 900)| 376
sgn| | | Sign Languages| langues des signes| 377
shn| | | Shan| chan| 378
sid| | | Sidamo| sidamo| 379
sin| | si| Sinhala; Sinhalese| singhalais| 380
sio| | | Siouan languages| sioux, langues| 381
sit| | | Sino-Tibetan languages| sino-tibétaines, langues| 382
sla| | | Slavic languages| slaves, langues| 383
slo| slk| sk| Slovak| slovaque| 384
slv| | sl| Slovenian| slovène| 385
sma| | | Southern Sami| sami du Sud| 386
sme| | se| Northern Sami| sami du Nord| 387
smi| | | Sami languages| sames, langues| 388
smj| | | Lule Sami| sami de Lule| 389
smn| | | Inari Sami| sami d'Inari| 390
smo| | sm| Samoan| samoan| 391
sms| | | Skolt Sami| sami skolt| 392
sna| | sn| Shona| shona| 393
snd| | sd| Sindhi| sindhi| 394
snk| | | Soninke| soninké| 395
sog| | | Sogdian| sogdien| 396
som| | so| Somali| somali| 397
son| | | Songhai languages| songhai, langues| 398
sot| | st| Sotho, Southern| sotho du Sud| 399
spa| | es| Spanish; Castilian| espagnol; castillan| 400
srd| | sc| Sardinian| sarde| 401
srn| | | Sranan Tongo| sranan tongo| 402
srp| | sr| Serbian| serbe| 403
srr| | | Serer| sérère| 404
ssa| | | Nilo-Saharan languages| nilo-sahariennes, langues| 405
ssw| | ss| Swati| swati| 406
suk| | | Sukuma| sukuma| 407
sun| | su| Sundanese| soundanais| 408
sus| | | Susu| soussou| 409
sux| | | Sumerian| sumérien| 410
swa| | sw| Swahili| swahili| 411
swe| | sv| Swedish| suédois| 412
syc| | | Classical Syriac| syriaque classique| 413
syr| | | Syriac| syriaque| 414
tah| | ty| Tahitian| tahitien| 415
tai| | | Tai languages| tai, langues| 416
tam| | ta| Tamil| tamoul| 417
tat| | tt| Tatar| tatar| 418
tel| | te| Telugu| télougou| 419
tem| | | Timne| temne| 420
ter| | | Tereno| tereno| 421
tet| | | Tetum| tetum| 422
tgk| | tg| Tajik| tadjik| 423
tgl| | tl| Tagalog| tagalog| 424
tha| | th| Thai| thaï| 425
tib| bod| bo| Tibetan| tibétain| 426
tig| | | Tigre| tigré| 427
tir| | ti| Tigrinya| tigrigna| 428
tiv| | | Tiv| tiv| 429
tkl| | | Tokelau| tokelau| 430
tlh| | | Klingon; tlhIngan-Hol| klingon| 431
tli| | | Tlingit| tlingit| 432
tmh| | | Tamashek| tamacheq| 433
tog| | | Tonga (Nyasa)| tonga (Nyasa)| 434
ton| | to| Tonga (Tonga Islands)| tongan (Îles Tonga)| 435
tpi| | | Tok Pisin| tok pisin| 436
tsi| | | Tsimshian| tsimshian| 437
tsn| | tn| Tswana| tswana| 438
tso| | ts| Tsonga| tsonga| 439
tuk| | tk| Turkmen| turkmène| 440
tum| | | Tumbuka| tumbuka| 441
tup| | | Tupi languages| tupi, langues| 442
tur| | tr| Turkish| turc| 443
tut| | | Altaic languages| altaïques, langues| 444
tvl| | | Tuvalu| tuvalu| 445
twi| | tw| Twi| twi| 446
tyv| | | Tuvinian| touva| 447
udm| | | Udmurt| oudmourte| 448
uga| | | Ugaritic| ougaritique| 449
uig| | ug| Uighur; Uyghur| ouïgour| 450
ukr| | uk| Ukrainian| ukrainien| 451
umb| | | Umbundu| umbundu| 452
und| | | Undetermined| indéterminée| 453
urd| | ur| Urdu| ourdou| 454
uzb| | uz| Uzbek| ouszbek| 455
vai| | | Vai| vaï| 456
ven| | ve| Venda| venda| 457
vie| | vi| Vietnamese| vietnamien| 458
vol| | vo| Volapük| volapük| 459
vot| | | Votic| vote| 460
wak| | | Wakashan languages| wakashanes, langues| 461
wal| | | Walamo| walamo| 462
war| | | Waray| waray| 463
was| | | Washo| washo| 464
wel| cym| cy| Welsh| gallois| 465
wen| | | Sorbian languages| sorabes, langues| 466
wln| | wa| Walloon| wallon| 467
wol| | wo| Wolof| wolof| 468
xal| | | Kalmyk; Oirat| kalmouk; oïrat| 469
xho| | xh| Xhosa| xhosa| 470
yao| | | Yao| yao| 471
yap| | | Yapese| yapois| 472
yid| | yi| Yiddish| yiddish| 473
yor| | yo| Yoruba| yoruba| 474
ypk| | | Yupik languages| yupik, langues| 475
zap| | | Zapotec| zapotèque| 476
zbl| | | Blissymbols; Blissymbolics; Bliss| symboles Bliss; Bliss| 477
zen| | | Zenaga| zenaga| 478
zha| | za| Zhuang; Chuang| zhuang; chuang| 479
znd| | | Zande languages| zandé, langues| 480
zul| | zu| Zulu| zoulou| 481
zun| | | Zuni| zuni| 482
zxx| | | No linguistic content; Not applicable| pas de contenu linguistique; non applicable| 483
zza| | | Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki| zaza; dimili; dimli; kirdki; kirmanjki; zazaki| 484
