iso639code,stemmer
en,org.tartarus.snowball.ext.EnglishStemmer
es,org.tartarus.snowball.ext.SpanishStemmer
da,org.tartarus.snowball.ext.DanishStemmer
de,org.tartarus.snowball.ext.GermanStemmer
fi,org.tartarus.snowball.ext.FinnishStemmer
hu,org.tartarus.snowball.ext.HungarianStemmer
it,org.tartarus.snowball.ext.ItalianStemmer
nl,org.tartarus.snowball.ext.DutchStemmer
nn,org.tartarus.snowball.ext.NorwegianStemmer
pt,org.tartarus.snowball.ext.PortugueseStemmer
ro,org.tartarus.snowball.ext.RomanianStemmer
ru,org.tartarus.snowball.ext.RussianStemmer
sv,org.tartarus.snowball.ext.SwedishStemmer
tr,org.tartarus.snowball.ext.TurkishStemmer











