key,adj
.22-caliber,1
.22-calibre,1
.22 caliber,1
.22 calibre,1
.38-caliber,1
.38-calibre,1
.38 caliber,1
.38 calibre,1
.45-caliber,1
.45-calibre,1
.45 caliber,1
.45 calibre,1
0,1
1,1
10,1
10-membered,1
100,1
1000,1
1000th,1
100th,1
101,1
101st,1
105,1
105th,1
10th,1
11,1
110,1
110th,1
115,1
115th,1
11th,1
12,1
120,1
120th,1
125,1
125th,1
12th,1
13,1
130,1
130th,1
135,1
135th,1
13th,1
14,1
140,1
140th,1
145,1
145th,1
14th,1
15,1
150,1
150th,1
155,1
155th,1
15th,1
16,1
160,1
160th,1
165,1
165th,1
16th,1
17,1
170,1
170th,1
175,1
175th,1
17th,1
18,1
180,1
180th,1
18th,1
19,1
190,1
190th,1
19th,1
1st,1
2,1
2-dimensional,1
20,1
200,1
200th,1
20th,1
21,1
21st,1
22,1
22nd,1
23,1
23rd,1
24,1
24th,1
25,1
25th,1
26,1
26th,1
27,1
27th,1
28,1
28th,1
29,1
29th,1
2d,1
2nd,1
3,1
3-dimensional,1
3-membered,1
30,1
300,1
300th,1
30th,1
31,1
31st,1
32,1
32nd,1
33,1
33rd,1
34,1
34th,1
35,1
35th,1
36,1
36th,1
37,1
37th,1
38,1
38th,1
39,1
39th,1
3rd,1
4,1
4-dimensional,1
4-membered,1
40,1
400,1
400th,1
40th,1
41,1
41st,1
42,1
42nd,1
43,1
43rd,1
44,1
44th,1
45,1
45th,1
46,1
46th,1
47,1
47th,1
48,1
48th,1
49,1
49th,1
4th,1
5,1
5-membered,1
50,1
500,1
500th,1
50th,1
51,1
52,1
53,1
54,1
55,1
55th,1
56,1
57,1
58,1
59,1
5th,1
6,1
6-membered,1
60,1
60th,1
61,1
62,1
63,1
64,1
64th,1
65,1
65th,1
66,1
67,1
68,1
69,1
6th,1
7,1
7-membered,1
70,1
70th,1
71,1
72,1
73,1
74,1
75,1
75th,1
76,1
77,1
78,1
79,1
7th,1
8,1
8-membered,1
80,1
80th,1
81,1
82,1
83,1
84,1
85,1
85th,1
86,1
87,1
88,1
89,1
8th,1
9,1
9-membered,1
90,1
90th,1
91,1
92,1
93,1
94,1
95,1
95th,1
96,1
97,1
98,1
99,1
9th,1
a-ok,1
a-okay,1
a-one,1
a.m.,1
a cappella,1
a couple of,1
a few,1
a la carte,1
a la mode,1
a posteriori,1
a priori,1
abactinal,1
abandoned,1
abashed,1
abasic,1
abatable,1
abatic,1
abaxial,1
abbatial,1
abbreviated,1
abdicable,1
abdominal,1
abdominous,1
abdominovesical,1
abducent,1
abducting,1
abecedarian,1
aberdonian,1
aberrant,1
abeyant,1
abhorrent,1
abiding,1
abient,1
abiogenetic,1
abject,1
abkhaz,1
abkhazian,1
ablated,1
ablative,1
ablaze,1
able,1
able-bodied,1
abloom,1
ablutionary,1
abnaki,1
abnormal,1
abolishable,1
abolitionary,1
abomasal,1
abominable,1
aboral,1
aboriginal,1
abortifacient,1
abortive,1
aboulic,1
abounding,1
about,1
above,1
above-mentioned,1
above-named,1
aboveboard,1
aboveground,1
abranchial,1
abranchiate,1
abranchious,1
abrasive,1
abreast,1
abridged,1
abroach,1
abroad,1
abrupt,1
abruptly-pinnate,1
abscessed,1
absent,1
absentminded,1
absolute,1
absolutist,1
absolutistic,1
absolved,1
absolvitory,1
absorbable,1
absorbed,1
absorbefacient,1
absorbent,1
absorbing,1
absorptive,1
abstemious,1
abstentious,1
abstinent,1
abstract,1
abstracted,1
abstractionist,1
abstractive,1
abstruse,1
absurd,1
abulic,1
abundant,1
abused,1
abusive,1
abuzz,1
abysmal,1
abyssal,1
academic,1
acanthoid,1
acanthotic,1
acanthous,1
acapnial,1
acapnic,1
acapnotic,1
acarpellous,1
acarpelous,1
acarpous,1
acatalectic,1
acaudal,1
acaudate,1
acaulescent,1
accelerando,1
accelerated,1
accelerative,1
acceleratory,1
accented,1
accentual,1
acceptable,1
acceptant,1
accepted,1
accepting,1
acceptive,1
accessary,1
accessible,1
accessional,1
accessorial,1
accessory,1
accident-prone,1
accidental,1
accipitrine,1
acclivitous,1
accommodating,1
accommodational,1
accommodative,1
accompanied,1
accompanying,1
accomplishable,1
accomplished,1
accordant,1
according,1
accountable,1
accoutered,1
accoutred,1
accredited,1
accretionary,1
accretive,1
accrued,1
acculturational,1
acculturative,1
accumbent,1
accumulated,1
accumulative,1
accurate,1
accursed,1
accurst,1
accusative,1
accusatorial,1
accusatory,1
accusing,1
accusive,1
accustomed,1
ace,1
acellular,1
acentric,1
acephalous,1
acerate,1
acerb,1
acerbic,1
acerose,1
acervate,1
acetabular,1
acetic,1
acetonic,1
acetose,1
acetous,1
acetylenic,1
acetylic,1
achaean,1
achenial,1
acheronian,1
acherontic,1
achievable,1
aching,1
achlamydeous,1
achlorhydric,1
achondritic,1
achondroplastic,1
achromatic,1
achromatinic,1
achromatous,1
achromic,1
achromous,1
achy,1
acicular,1
aciculate,1
acid,1
acid-fast,1
acid-forming,1
acid-loving,1
acid-tasting,1
acidic,1
acidimetric,1
acidophilic,1
acidophilous,1
acidotic,1
acidulent,1
acidulous,1
aciduric,1
acinar,1
acinic,1
acinose,1
acinous,1
acknowledgeable,1
acknowledged,1
acned,1
acneiform,1
acold,1
acorn-shaped,1
acoustic,1
acoustical,1
acquainted,1
acquiescent,1
acquirable,1
acquired,1
acquisitive,1
acquitted,1
acrid,1
acrimonious,1
acritical,1
acrobatic,1
acrocarpous,1
acrocentric,1
acrogenic,1
acrogenous,1
acromegalic,1
acronymic,1
acronymous,1
acropetal,1
acrophobic,1
acroscopic,1
across-the-board,1
actable,1
actinal,1
acting,1
actinic,1
actinoid,1
actinometric,1
actinometrical,1
actinomorphic,1
actinomorphous,1
actinomycetal,1
actinomycetous,1
actinomycotic,1
actionable,1
activated,1
activating,1
active,1
activist,1
activistic,1
actual,1
actuarial,1
actuated,1
actuating,1
acuate,1
aculeate,1
aculeated,1
acuminate,1
acute,1
acyclic,1
ad-lib,1
ad hoc,1
ad hominem,1
adactylous,1
adagio,1
adamant,1
adamantine,1
adaptable,1
adaptational,1
adaptative,1
adapted,1
adaptive,1
adaxial,1
addable,1
addible,1
addicted,1
addictive,1
additional,1
additive,1
addlebrained,1
addled,1
addlepated,1
addressable,1
addressed,1
adducent,1
adducting,1
adductive,1
adenocarcinomatous,1
adenoid,1
adenoidal,1
adept,1
adequate,1
adequate to,1
adherent,1
adhesive,1
adiabatic,1
adient,1
adipose,1
adjacent,1
adjectival,1
adjective,1
adjudicative,1
adjudicatory,1
adjunct,1
adjunctive,1
adjuratory,1
adjustable,1
adjusted,1
adjustive,1
adjuvant,1
administrable,1
administrative,1
admirable,1
admired,1
admissible,1
admissive,1
admittable,1
admittible,1
admonishing,1
admonitory,1
adnate,1
adnexal,1
adolescent,1
adonic,1
adoptable,1
adopted,1
adoptive,1
adorable,1
adored,1
adoring,1
adorned,1
adpressed,1
adrenal,1
adrenergic,1
adrenocortical,1
adrenocorticotrophic,1
adrenocorticotropic,1
adrift,1
adroit,1
adscititious,1
adscript,1
adscripted,1
adsorbable,1
adsorbate,1
adsorbent,1
adsorptive,1
