key,sense
'hood%1:15:00::,1
's gravenhage%1:15:00::,1
'tween%4:02:00::,1
'tween decks%4:02:00::,1
.22%1:06:00::,1
.22-caliber%3:01:00::,1
.22-calibre%3:01:00::,1
.22 caliber%3:01:00::,1
.22 calibre%3:01:00::,1
.38-caliber%3:01:00::,1
.38-calibre%3:01:00::,1
.38 caliber%3:01:00::,1
.38 calibre%3:01:00::,1
.45-caliber%3:01:00::,1
.45-calibre%3:01:00::,1
.45 caliber%3:01:00::,1
.45 calibre%3:01:00::,1
0%1:23:00::,1
0%5:00:00:cardinal:00,1
1%1:23:00::,1
1%5:00:00:cardinal:00,1
1-dodecanol%1:27:00::,1
1-hitter%1:04:00::,1
10%1:23:00::,1
10%5:00:00:cardinal:00,1
10-membered%5:00:00:membered:00,1
100%1:23:00::,1
100%5:00:00:cardinal:00,1
1000%1:23:00::,1
1000%5:00:00:cardinal:00,1
10000%1:23:00::,1
100000%1:23:00::,1
1000000%1:23:00::,1
1000000000%1:23:00::,1
1000000000000%1:23:00::,1
1000000000000%1:23:01::,1
1000th%5:00:00:ordinal:00,1
100th%5:00:00:ordinal:00,1
101%5:00:00:cardinal:00,1
101st%5:00:00:ordinal:00,1
105%5:00:00:cardinal:00,1
105th%5:00:00:ordinal:00,1
10th%5:00:00:ordinal:00,1
11%1:23:00::,1
11%5:00:00:cardinal:00,1
11-plus%1:04:00::,1
110%5:00:00:cardinal:00,1
110th%5:00:00:ordinal:00,1
115%5:00:00:cardinal:00,1
115th%5:00:00:ordinal:00,1
11 november%1:28:00::,1
11th%5:00:00:ordinal:00,1
12%1:23:00::,1
12%5:00:00:cardinal:00,1
12-tone music%1:10:00::,1
12-tone system%1:10:00::,1
120%1:23:00::,1
120%5:00:00:cardinal:00,1
120th%5:00:00:ordinal:00,1
125%5:00:00:cardinal:00,1
125th%5:00:00:ordinal:00,1
12th%5:00:00:ordinal:00,1
13%1:23:00::,1
13%5:00:00:cardinal:00,1
130%5:00:00:cardinal:00,1
130th%5:00:00:ordinal:00,1
135%5:00:00:cardinal:00,1
135th%5:00:00:ordinal:00,1
13th%5:00:00:ordinal:00,1
14%1:23:00::,1
14%5:00:00:cardinal:00,1
140%5:00:00:cardinal:00,1
140th%5:00:00:ordinal:00,1
144%1:23:00::,1
145%5:00:00:cardinal:00,1
145th%5:00:00:ordinal:00,1
14 july%1:28:00::,1
14th%5:00:00:ordinal:00,1
15%1:23:00::,1
15%5:00:00:cardinal:00,1
150%5:00:00:cardinal:00,1
150th%5:00:00:ordinal:00,1
1530s%1:28:00::,1
155%5:00:00:cardinal:00,1
155th%5:00:00:ordinal:00,1
15 august 1945%1:28:00::,1
15 may organization%1:14:00::,1
15 minutes%1:28:00::,1
15th%5:00:00:ordinal:00,1
16%1:23:00::,1
16%5:00:00:cardinal:00,1
160%5:00:00:cardinal:00,1
160th%5:00:00:ordinal:00,1
165%5:00:00:cardinal:00,1
165th%5:00:00:ordinal:00,1
16 pf%1:10:00::,1
16th%5:00:00:ordinal:00,1
17%1:23:00::,1
