key,verb
aah,1
abacinate,1
abandon,1
abase,1
abash,1
abate,1
abbreviate,1
abdicate,1
abduce,1
abduct,1
aberrate,1
abet,1
abhor,1
abide,1
abide by,1
abjure,1
ablactate,1
ablate,1
abnegate,1
abolish,1
abominate,1
abort,1
abound,1
abound in,1
about-face,1
abrade,1
abrase,1
abreact,1
abridge,1
abrogate,1
abscise,1
abscond,1
abseil,1
absent,1
absolve,1
absorb,1
absquatulate,1
abstain,1
abstract,1
abuse,1
abut,1
aby,1
abye,1
accede,1
accelerate,1
accent,1
accentuate,1
accept,1
access,1
accession,1
acclaim,1
acclimate,1
acclimatise,1
acclimatize,1
accommodate,1
accompany,1
accomplish,1
accord,1
accost,1
account,1
account for,1
accouter,1
accoutre,1
accredit,1
accrete,1
accrue,1
acculturate,1
accumulate,1
accurse,1
accuse,1
accustom,1
ace,1
acerbate,1
acetify,1
acetylate,1
acetylise,1
acetylize,1
ache,1
achieve,1
achromatise,1
achromatize,1
acid-wash,1
acidify,1
acidulate,1
acknowledge,1
acquaint,1
acquiesce,1
acquire,1
acquit,1
act,1
act as,1
act involuntarily,1
act on,1
act out,1
act reflexively,1
act superior,1
act up,1
act upon,1
action,1
activate,1
actualise,1
actualize,1
actuate,1
acuminate,1
ad-lib,1
adapt,1
add,1
add on,1
add to,1
add together,1
add up,1
addict,1
addle,1
address,1
adduce,1
adduct,1
adhere,1
adjoin,1
adjourn,1
adjudge,1
adjudicate,1
adjure,1
adjust,1
admeasure,1
administer,1
administrate,1
admire,1
admit,1
admix,1
admonish,1
adolesce,1
adopt,1
adore,1
adorn,1
adsorb,1
adulate,1
adulterate,1
adumbrate,1
advance,1
advantage,1
advect,1
adventure,1
advert,1
advertise,1
advertize,1
advise,1
advocate,1
aerate,1
aerify,1
aerosolise,1
aerosolize,1
aestivate,1
affect,1
affiance,1
affiliate,1
affirm,1
affix,1
afflict,1
afford,1
afforest,1
affranchise,1
affright,1
affront,1
age,1
agenise,1
agenize,1
agglomerate,1
agglutinate,1
aggrade,1
aggrandise,1
aggrandize,1
aggravate,1
aggregate,1
aggress,1
aggrieve,1
aggroup,1
agitate,1
agnise,1
agnize,1
agonise,1
agonize,1
agree,1
aid,1
ail,1
aim,1
air,1
air-condition,1
air-cool,1
air-drop,1
air-freight,1
air-ship,1
air-slake,1
air out,1
airbrush,1
airfreight,1
airlift,1
airmail,1
airt,1
alarm,1
alchemise,1
alchemize,1
alcoholise,1
alcoholize,1
alert,1
alibi,1
alien,1
alienate,1
alight,1
align,1
aliment,1
aline,1
alkalify,1
alkalinise,1
alkalinize,1
alkalise,1
alkalize,1
allay,1
allege,1
allegorise,1
allegorize,1
alleviate,1
alligator,1
alliterate,1
allocate,1
allot,1
allow,1
allow for,1
allow in,1
allowance,1
alloy,1
allude,1
allure,1
ally,1
ally with,1
alphabetise,1
alphabetize,1
alter,1
altercate,1
alternate,1
aluminise,1
aluminize,1
amalgamate,1
amass,1
amaze,1
ambition,1
amble,1
ambulate,1
ambuscade,1
ambush,1
ameliorate,1
amend,1
amerce,1
americanise,1
americanize,1
ammoniate,1
ammonify,1
amnesty,1
amortise,1
amortize,1
amount,1
amplify,1
amputate,1
amuse,1
anaesthetise,1
anaesthetize,1
anagram,1
anagrammatise,1
anagrammatize,1
analogise,1
analogize,1
analyse,1
analyze,1
anastomose,1
anathematise,1
anathematize,1
anathemise,1
anathemize,1
anatomise,1
anatomize,1
anchor,1
ancylose,1
anele,1
anesthetise,1
anesthetize,1
anger,1
angle,1
angle-park,1
anglicise,1
anglicize,1
anguish,1
angulate,1
animadvert,1
animalise,1
animalize,1
animate,1
animise,1
animize,1
ankylose,1
anneal,1
annex,1
annihilate,1
annotate,1
announce,1
annoy,1
annul,1
annunciate,1
anodise,1
anodize,1
anoint,1
answer,1
answer for,1
antagonise,1
antagonize,1
ante,1
ante up,1
antecede,1
antedate,1
anthologise,1
anthologize,1
anthropomorphise,1
anthropomorphize,1
antic,1
anticipate,1
antiquate,1
antique,1
antisepticize,1
ape,1
aphorise,1
aphorize,1
apologise,1
apologize,1
apostatise,1
apostatize,1
apostrophise,1
apostrophize,1
apotheose,1
apotheosise,1
